date,hits,geo,time,keyword,gprop,category
10/4/2015,80,US,today+5-y,Alarms,web,0
10/11/2015,77,US,today+5-y,Alarms,web,0
10/18/2015,79,US,today+5-y,Alarms,web,0
10/25/2015,77,US,today+5-y,Alarms,web,0
11/1/2015,88,US,today+5-y,Alarms,web,0
11/8/2015,78,US,today+5-y,Alarms,web,0
11/15/2015,78,US,today+5-y,Alarms,web,0
11/22/2015,71,US,today+5-y,Alarms,web,0
11/29/2015,80,US,today+5-y,Alarms,web,0
12/6/2015,82,US,today+5-y,Alarms,web,0
12/13/2015,73,US,today+5-y,Alarms,web,0
12/20/2015,76,US,today+5-y,Alarms,web,0
12/27/2015,79,US,today+5-y,Alarms,web,0
1/3/2016,81,US,today+5-y,Alarms,web,0
1/10/2016,71,US,today+5-y,Alarms,web,0
1/17/2016,70,US,today+5-y,Alarms,web,0
1/24/2016,68,US,today+5-y,Alarms,web,0
1/31/2016,75,US,today+5-y,Alarms,web,0
2/7/2016,75,US,today+5-y,Alarms,web,0
2/14/2016,73,US,today+5-y,Alarms,web,0
2/21/2016,75,US,today+5-y,Alarms,web,0
2/28/2016,70,US,today+5-y,Alarms,web,0
3/6/2016,73,US,today+5-y,Alarms,web,0
3/13/2016,77,US,today+5-y,Alarms,web,0
3/20/2016,70,US,today+5-y,Alarms,web,0
3/27/2016,72,US,today+5-y,Alarms,web,0
4/3/2016,71,US,today+5-y,Alarms,web,0
4/10/2016,83,US,today+5-y,Alarms,web,0
4/17/2016,66,US,today+5-y,Alarms,web,0
4/24/2016,70,US,today+5-y,Alarms,web,0
5/1/2016,73,US,today+5-y,Alarms,web,0
5/8/2016,73,US,today+5-y,Alarms,web,0
5/15/2016,72,US,today+5-y,Alarms,web,0
5/22/2016,72,US,today+5-y,Alarms,web,0
5/29/2016,77,US,today+5-y,Alarms,web,0
6/5/2016,74,US,today+5-y,Alarms,web,0
6/12/2016,74,US,today+5-y,Alarms,web,0
6/19/2016,80,US,today+5-y,Alarms,web,0
6/26/2016,76,US,today+5-y,Alarms,web,0
7/3/2016,76,US,today+5-y,Alarms,web,0
7/10/2016,79,US,today+5-y,Alarms,web,0
7/17/2016,80,US,today+5-y,Alarms,web,0
7/24/2016,78,US,today+5-y,Alarms,web,0
7/31/2016,84,US,today+5-y,Alarms,web,0
8/7/2016,79,US,today+5-y,Alarms,web,0
8/14/2016,79,US,today+5-y,Alarms,web,0
8/21/2016,86,US,today+5-y,Alarms,web,0
8/28/2016,79,US,today+5-y,Alarms,web,0
9/4/2016,80,US,today+5-y,Alarms,web,0
9/11/2016,82,US,today+5-y,Alarms,web,0
9/18/2016,87,US,today+5-y,Alarms,web,0
9/25/2016,86,US,today+5-y,Alarms,web,0
10/2/2016,86,US,today+5-y,Alarms,web,0
10/9/2016,91,US,today+5-y,Alarms,web,0
10/16/2016,84,US,today+5-y,Alarms,web,0
10/23/2016,78,US,today+5-y,Alarms,web,0
